Date,Country,Vehicle,Battle type,BR,Place on team,W/L,Squad?,all kills,Assists ,Deaths,AI Targets,Bomb Target Tons,Caps,Mission Points,Activity,Duration,SL w/ boost,RP w/ boost (yellow),Important Trophies,SL,RP,RP in range,SL booster,RP booster,Map,Type,map suck?,upteired?,Task,Completion,Special,Completion
,Italy,Air,AB,4.0,12,W,,1,1,0,0,0,0,,,,14003,720,,5601,626,yes,150,15,,,,,,,,
,France,Air,AB,4.0,6,L,,1,2,3,0,0.95,0,,,,21346,2119,,8538,1843,yes,150,15,,,,,,,,
,France,Air,AB,4.0,9,L,,2,0,1,0,0.342,0,,,,15495,1626,,6198,1414,yes,150,15,,,,,,,,
,France,Air,AB,4.0,9,L,,2,0,4,1,0,0,,,,20248,2028,,8099,1763,yes,150,15,,,,,,,,
,Sweden,Air,AB,4.0,5,W,,0,0,0,0,5.56,0,,,,44693,6147,,25539,5345,yes,75,15,Mountain Ridge China,Ground Strike,,,,,,
,Germany,Air,AB,2.7,7,L,,0,0,1,0,3,0,,,,13936,1633,,7963,1420,yes,75,15,Sicily,Ground Strike,,,,,,
,Germany,Air,AB,2.7,6,W,,0,0,0,0,2.31,0,,,,14427,1692,,8244,1471,yes,75,15,Ireland,Ground Strike,,,,,,
,US,Air,AB,5.3,4,W,,1,1,1,1,2.87,0,,,,44420,6066,,25383,2426,yes,75,150,Grave Robbers Cliffs,Ground Strike,,,,,,
,US,Air,AB,5.3,8,W,,0,0,1,0,3.82,0,,,,33264,6600,,19008,2640,yes,75,150,Grave Robbers Cliffs,Ground Strike,,,,,,
,Sweden,Air,AB,4.0,5,L,,3,2,4,0,1.02,0,,,,275,4341,,157,1736,yes,75,150,Pacific Hidden Base,Ground Strike,,,,,,
,US,Ground,RB,3.7,13,L,,0,0,3,0,0,0,,,,1343,1737,,767,695,yes,75,150,Port Novoroskyissk,Conquest #1,,,,,,
,US,Ground,RB,3.7,4,L,,2,1,2,0,0,0,,,,11119,3289,,6354,1316,yes,75,150,Advance to the Rhine,Domination,,,,,,
,US,Ground,RB,3.7,4,L,,3,1,3,0,0,0,,,,12743,3501,,7282,1400,yes,75,150,Cargo Port,Dominatoin,,,,,,
,US,Ground,RB,3.7,9,W,,3,0,2,0,0,0,,,,25132,7039,,10053,2346,yes,150,200,Campania,Domination,,,,,,
,US,Ground,RB,3.7,14,W,,0,0,2,0,0,0,,,,5186,1700,,2074,971,yes,150,75,Ardenees,Domination,,,,,,
,US,Ground,RB,3.7,13,W,,0,1,2,0,0,1,,,,17565,3916,,5855,2238,yes,200,75,Cargo Port,Battle,,,,,,
,US,Ground,RB,3.7,5,L,,3,0,3,0,0,0,,,,22934,3595,,7645,2054,yes,200,75,Ardennes,Domination,,,,,,
,US,Ground,RB,3.7,16,W,,0,0,3,0,0,0,,,,3259,2739,,3259,1565,yes,0,75,Jungle,Domination,,,,,,
,US,Air,AB,2.7,7,W,,3,0,2,0,0,0,,,,11657,2700,,4663,1543,no,150,75,Ruhr,Ground Strike,,,,,,
,USSR,Naval,AB,3.3,1,W,,6,8,0,0,0,0,,,,119416,6081,,47766,3475,yes,150,75,,,,,,,,
,USSR,Naval,AB,3.3,1,W,,7,3,1,0,0,0,,,,52344,8734,,20938,1878,yes,150,365,,,,,,,,
,USSR,Naval,AB,3.3,4,W,,3,6,2,0,0,0,,,,47895,13344,,15965,2069,yes,200,545,,,,,,,,
,USSR,Naval,AB,3.3,4,W,,4,0,3,0,0,1,,,,138388,9795,,21290,1797,yes,550,445,,,,,,,,
,UK,Naval,AB,4.0,9,L,,1,0,0,0,0,0,,,,8247,1223,,2749,408,yes,200,200,Andaman Sea,Domination,Sucks,,,,,
,UK,Naval,AB,4.0,13,L,,0,1,1,0,0,0,,,,5528,1004,,1843,335,yes,200,200,Volcanic Island,Domination,,,,,,
,UK,Naval,AB,4.0,6,W,,2,2,1,0,0,0,,,,22412,3772,,22412,3772,yes,0,0,Black Sea,Encounter,,,,,,
,UK,Naval,AB,4.0,2,L,,3,4,0,0,0,0,,,,24425,2721,,24425,2721,yes,0,0,La manche,Conquest,Sucks,,,,,
,UK,Naval,AB,4.0,9,L,,1,2,1,0,0,0,,,,2635,1196,,2635,1196,yes,0,0,Black Sea Port,Domination,,,,,,
,UK,Naval,AB,4.0,8,W,,2,5,0,0,0,0,,,,21551,3682,,21551,3347,yes,0,10,South Africa,Domination,not bad,,,,,
,UK,Naval,AB,4.0,11,L,,1,0,0,0,0,0,,,,2959,811,,2959,737,yes,0,10,Fiji,Domination,,,,,,
,UK,Naval,AB,4.0,9,L,,1,1,1,0,0,0,,,,2251,961,,2251,874,yes,0,10,Midway,Conquest,sucks,,,,,
,UK,Naval,AB,4.0,11,L,,0,1,1,0,0,0,,,,1640,722,,1640,656,yes,0,10,Aleutian Islands,Domination,,,,,,
,UK,Naval,AB,4.0,9,W,,1,1,0,0,0,0,,,,9356,2619,,9356,2381,yes,0,10,Midway,Conquest,sucks,,,,,
,UK,Naval,AB,4.0,1,W,,9,4,1,0,0,1,,,,74968,9267,,74968,8425,yes,0,10,Volcanic Island,Domination,,,,,,
,Sweden,Air,AB,4.0,5,W,,4,1,0,0,0,0,,,,15620,2786,,12496,2322,yes,25,20,Fjords,Ground Strike,,,,,,
,USSR,Naval,AB,3.3,4,W,,6,3,2,0,0,3,,,,19916,3766,,17318,3766,yes,15,0,Ireland bay,Domination,,,,,,
,USSR,Naval,AB,3.3,3,W,,6,7,0,0,0,0,,,,37756,3806,,32831,3806,yes,15,0,Mediterrainean port,domination,,,,,,
,Sweden,Air,AB,4.0,12,L,,0,0,0,0,1.06,0,,,,2817,1058,,2450,1058,yes,15,0,Guam,Ground Strike,,,,,,
,Sweden,Air,AB,4.0,10,L,,4,0,0,0,0,0,,,,6927,3059,,6023,1177,yes,15,160,Wake Island,Ground Strike,,,,,,
,US,Air,AB,5.3,13,L,,0,0,0,0,0.297,0,,,,5141,889,,4470,808,yes,15,10,Spain,Ground Strike,,,,,,
,Italy,Air,AB,3.3,12,L,,0,0,0,0,4.27,0,,,,7635,2318,,7635,2318,yes,0,0,ruhr,Ground Strike,,,,,,
,Italy,Air,AB,3.3,5,W,,0,0,1,0,2.8,0,,,,10889,2622,,10889,2622,yes,0,0,Greece,Ground Strike,,,,,,
,Sweden,Air,AB,4.0,5,L,,2,0,1,0,1.6,0,,,,6431,2038,,6431,2038,yes,0,0,Oahu,Ground Strike,,,,,,
,USSR,Air,AB,4.0,7,W,,3,2,2,0,0,0,,,,44316,5975,,14772,1992,yes,200,200,Port Moresby,Ground Strike,,,,,,
,USSR,Air,AB,4.0,14,L,,0,0,0,0,0,0,,,,-7,278,,-7,278,yes,0,0,City,Ground Strike,Awesome,,,,,
,German,Air,AB,5.3,9,L,,0,2,1,0,0,0,,,,5108,914,,5108,914,yes,0,0,Deserted Coast,Ground Strike,,,,,,
,USSR,Air,AB,4.0,5,W,,5,3,1,0,0,0,,,,27918,3598,,21475,3598,yes,30,0,Vietnam,domination,,,,,,
,USSR,Naval,AB,3.3,1,L,,4,1,3,0,0,0,,,,-331,1488,,-255,1488,yes,30,0,Arabian Sea,domination,,,,,,
,USSR,Naval,AB,3.3,7,W,,1,2,2,0,0,0,,,,8530,1520,,6562,1520,yes,30,0,Ireland Bay,domination,,,,,,
1/16/2021,USSR,Air,AB,4.0,12,L,,0,0,0,0,0.726,0,,57,,6128,1068,,4714,1068,yes,30,0,Berlin,Ground Strike,,,,,,
1/16/2021,USSR,Air,AB,4.0,12,L,,1,2,1,0,0,0,,66,,3171,1030,,2439,1030,yes,30,0,Graves Robbers Clifs,Ground Strike,,,,,,
1/16/2021,USSR,Air,AB,4.0,8,W,,3,0,2,1,0,0,,72,,48266,2576,,12067,2576,yes,300,0,ruhr,Ground Strike,,,,,,
1/16/2021,USSR,Air,AB,4.0,6,l,,3,1,2,6,0,0,,75,,31402,1844,,7851,1844,yes,300,0,Greece,Ground Strike,,,,,,
1/16/2021,USSR,Air,AB,4.0,4,L,,2,0,3,7,0,0,,80,,22027,1488,,5507,1488,yes,300,0,Britain,Ground Strike,,,,,,
1/16/2021,USSR,Air,AB,4.0,3,L,,3,0,3,12,0,1,,87,,38483,1914,,9621,1914,yes,300,0,Denmark,domination,,,,,,
1/16/2021,USSR,Air,AB,4.0,6,L,,5,2,4,2,0,0,,86,,44495,2050,,11124,2050,yes,300,0,Winter Stalingrad,domination,,,,,,
1/16/2021,USSR,Air,AB,4.0,9,L,,2,2,5,2,0,0,,69,,7429,1738,,1857,1738,yes,300,0,Port Moresby,Ground Strike,,,,,,
1/16/2021,USSR,Air,AB,4.0,6,W,,4,4,2,0,0,0,,86,,20735,3080,,20735,3080,yes,0,0,Korsun,domination,,,,,,
1/16/2021,USSR,Air,AB,4.0,2,W,,1,2,2,6,0,0,,92,,12398,2060,,12398,2060,yes,0,0,Oahu,Ground Strike,,,,,,
1/16/2021,USSR,Air,AB,4.0,3,L,,3,5,1,4,0,0,,86,,26894,1824,,10758,1824,yes,150,0,Graves Robbers Clifs,Ground Strike,,,,,,
1/16/2021,Germany,Air,AB,5.3,1,W,,5,3,5,2,2,0,,88,,69056,6068,,27622,6068,yes,150,0,"Mountain Ridge, China",Frontline,took forever,,,,,
1/16/2021,USSR,Naval,AB,3.3,1,L,,8,3,0,0,0,0,,87,,31849,2898,,31849,2898,yes,0,0,South Kvarken,Domination,,,,,,
1/16/2021,UK,Air,AB,2.7,2,W,,4,1,3,0,0,0,,83,,10306,2591,,10306,2355,yes,0,10,Foothills,Frontline,,,,,,
1/16/2021,USSR,Naval,AB,3.3,3,W,,6,4,2,0,0,1,,82,,26756,4008,,26756,4008,yes,0,0,Mediterrainean port,domination,,,,,,
1/16/2021,USSR,Naval,AB,3.3,2,L,,7,3,4,0,0,0,,84,,25507,2754,,25507,2754,yes,0,0,Ireland Bay,domination,,,,,,
1/16/2021,USSR,Naval,AB,3.3,2,W,,7,7,3,0,0,0,,88,,37442,4970,,37442,4970,yes,0,0,North Port,domination,,,,,,
1/16/2021,USSR,Naval,AB,3.3,1,W,,7,5,2,0,0,1,,86,,53148,4610,,53148,4610,yes,0,0,north sea,domination,,,,,,
1/16/2021,USSR,Naval,AB,3.3,5,L,,3,4,1,0,0,1,,77,,7416,2077,,7416,1791,yes,0,16,South Kvarken,domination,,,,,,
1/16/2021,USSR,Naval,AB,3.3,2,W,,9,6,4,0,0,0,,86,,10963,4100,,10963,4100,yes,0,0,Fuego Islands,domination,,,,,,
1/17/2021,Japan,Ground,RB,2.0,10,W,,0,0,4,0,0,0,,67,,2612,1991,,2612,1991,yes,0,0,Eastern Europe,domination,,,,,,
1/17/2021,Japan,Ground,RB,2.0,9,L,,2,0,2,0,0,0,,69,,2810,884,,2810,884,yes,0,0,japan,domination,,,,,,
1/17/2021,Italy,Ground,RB,1.7,9,L,,2,0,4,0,0,0,,76,,3105,1518,,3105,1518,yes,0,0,Cargo Port,Domination,,,,,,
1/17/2021,Italy,Ground,RB,1.7,11,L,,2,0,2,0,0,0,,74,,3013,1604,,3013,1604,yes,0,0,Jungle,Domination,,,,,,
1/17/2021,Italy,Ground,RB,1.7,14,W,,0,2,1,0,0,0,,72,,2908,2437,,2908,2437,yes,0,0,Poland,Conquest #3,,,,,,
1/17/2021,Italy,Naval,AB,2.3,5,W,,3,3,3,0,0,0,,84,,18096,2017,,18096,2017,no,0,0,Norway,Domination,,,,,,
1/17/2021,Italy,Naval,AB,3.0,1,l,,6,1,4,0,0,0,,80,,14329,2691,,14329,2691,no,0,0,North Sea,Domination,,,,,,
1/17/2021,USA,Ground,RB,2.3,13,W,,1,0,3,0,0,0,,58,,4299,1742,,4299,1584,yes,0,10,Tunisia,Domination,,,,,,
1/17/2021,USA,Ground,RB,2.3,9,W,,1,1,2,0,0,1,,75,,7578,2658,,7578,2416,yes,0,10,Abandoned Factory,Domination,,,,,,
1/17/2021,USA,Ground,RB,2.3,8,w,,1,2,1,0,0,1,,81,,6191,1973,,6191,1794,yes,0,10,Eastern Europe,Domination,,,,,,
1/17/2021,USA,Ground,RB,2.3,3,L,,2,1,2,0,0,1,,90,,6621,2370,,6621,2155,yes,0,10,Tunisia,Domination,,,,,,
1/17/2021,USA,Ground,RB,2.3,12,W,,1,1,1,0,0,0,,71,,4344,2123,,4344,1930,yes,0,10,stalingrad,conquest #1,,,,,,
1/17/2021,USA,Ground,RB,2.3,14,W,,1,0,2,0,0,0,,71,,4951,1923,,4951,1748,yes,0,10,fields of normandy,conquest #2,,,,,,
1/17/2021,USSR,Naval,AB,3.3,1,W,,10,0,0,0,0,0,,85,,54470,4786,,54470,3988,yes,0,20,Aleutian Islands,Domination,,,,,,
1/18/2021,Germany,Air,AB,5.3,12,L,,0,0,1,0,0,0,,36,,2250,395,,2250,359,yes,0,10,Iron Range,Ground Strike,Very short.,,,,,
1/18/2021,Germany,Air,AB,5.3,4,L,,3,2,3,2,1.2,0,,80,,22259,2713,,22259,2466,yes,0,10,Graves Robbers Clifs,Ground Strike,,,,,,
1/18/2021,Germany,Air,AB,5.3,14,L,,0,0,1,1,0.56,0,,54,,3044,803,,3044,730,yes,0,10,Pacific Hidden Base,Ground Strike,,,,,,
1/18/2021,USSR,Naval,AB,3.3,8,W,,2,2,3,0,0,2,,68,,7690,3006,,7690,2733,no,0,10,Volcanic Island,Domination,,,,,,
1/18/2021,Sweden,Air,AB,4.0,2,L,,6,1,3,1,0,0,,86,,2128,2790,,2128,2536,yes,0,10,Foothills,Frontline,,,,,,
1/18/2021,Sweden,Air,AB,4.0,3,L,,3,3,1,1,0,0,,88,,8577,2123,,8577,1930,no,0,10,Alpine Meadows,Ground Strike,,,,,,
1/18/2021,Sweden,Air,AB,4.0,6,W,,3,0,1,3,0,0,,88,,11815,2264,,11815,2058,no,0,10,Berlin,Ground Strike,,,,,,
1/18/2021,Germany,Air,AB,5.3,1,L,,5,0,3,6,0,0,,90,,14647,2001,,14647,1819,yes,0,10,Guam,Ground Strike,,,,,,
1/18/2021,Germany,Air,AB,5.3,5,L,,4,1,2,0,0,0,,82,,10610,1803,,10610,1639,yes,0,10,Alpine Meadows,Ground Strike,,,,,,
1/18/2021,Germany,Ground,RB,3.0,4,L,,0,3,2,0,0,0,,83,,3762,1616,,3762,1469,yes,0,10,Poland,Conquest #2,,,,,,
1/18/2021,Germany,Ground,RB,3.0,4,L,,1,1,3,0,0,0,,88,,5074,2496,,5074,2080,yes,0,20,Kuban,Domination,,,,,,
1/18/2021,Germany,Ground,RB,3.0,,,,,,,,,,,,,,,,0,0,,,,TOTAL FAIL,,,,,,,
1/18/2021,Germany,Ground,RB,3.0,8,L,,1,2,1,0,0,0,,84,,7233,5235,,7233,1277,yes,0,310,Tunisia,Conquest #2,,,,,,
1/18/2021,USSR,Naval,AB,3.3,2,W,,6,1,3,0,0,0,,81,,22801,9114,,22801,2279,yes,0,300,South Kvarken,Domination,,,,,,
1/18/2021,USSR,Naval,AB,3.3,1,W,,8,5,1,0,0,0,,87,,28787,9580,,28787,2395,yes,0,300,Coral Islands,Domination,,,,,,
1/18/2021,USSR,Naval,AB,3.3,5,L,,0,1,1,0,0,1,,51,,-6124,1636,,-6124,409,yes,0,300,Ireland Bay,Domination,,,,,,
1/19/2021,Germany,Ground,RB,3.0,14,W,,0,1,0,0,0,0,,44,,4204,1254,,1401,1254,yes,200,0,Frozen Pass,Conquest #2,,,,,,
1/19/2021,Germany,Ground,RB,3.0,2,L,,1,2,3,0,0,0,,88,,11490,4097,,11490,1639,yes,0,150,Cargo Port,Conquest #3,,,,,,
1/19/2021,japan,Air,AB,4.0,7,L,,1,0,2,0,0,0,,79,,3042,560,,3042,224,yes,0,150,Foothills,Frontline,,,,,,
1/19/2021,UK,Air,AB,3.7,1,L,,5,3,3,0,0,0,,91,,7415,1698,,7415,1698,yes,0,0,Smolensk,Domination,,,,,,
1/19/2021,UK,Air,AB,3.7,5,W,,5,1,2,0,0,0,,85,,19310,3078,,19310,2798,yes,0,10,Abandoned Factory,Ground Strike,,,,,,
1/19/2021,UK,Air,AB,3.7,4,L,,1,0,2,0,0,0,,83,,-112,1417,,-112,354,yes,0,300,Peleliu,Domination,,,,,,
1/19/2021,UK,Air,AB,3.7,10,W,,1,0,4,3,0,0,,63,,8624,1814,,8624,1814,yes,0,0,Foothills,Frontline,,,,,,
1/19/2021,USSR,Naval,AB,3.3,1,W,,8,6,1,0,0,1,,86,,52385,5395,"Terror of the Ocean,On Hand",52385,4905,yes,0,10,Aleutian Islands,Domination,,,,,,
1/19/2021,USSR,Naval,AB,3.3,1,L,,6,1,2,0,0,0,,79,,10553,2661,Professionalx6,10553,2419,yes,0,10,South Kvarken,Domination,,,,,,
1/19/2021,USSR,Naval,AB,3.3,1,W,,5,2,0,0,0,2,,80,,46316,4424,Professionalx5,46316,4424,yes,0,0,Green Mountains Golf,Domination,,,,,,
1/19/2021,USSR,Naval,AB,3.3,2,W,,4,2,2,0,0,1,,77,,43513,2952,Terror of the Ocean,43513,2952,yes,0,0,African Gulf,Domination,,,,,,
1/19/2021,USSR,Naval,AB,3.3,4,L,,4,2,2,0,0,0,,74,,-1209,1430,,-1209,1430,yes,0,0,North Sea,Domination,,,,,,
1/19/2021,USSR,Naval,AB,3.3,8,W,,2,4,1,0,0,0,,56,,2293,2026,,2293,2026,yes,0,0,South Kvarken,Domination,,,,,,
1/19/2021,USSR,Naval,AB,3.3,2,W,,7,3,1,0,0,1,,89,,30633,2781,Professionalx7,30633,2528,yes,0,10,Ireland Bay,Domination,,,,,,
1/19/2021,USSR,Naval,AB,3.3,8,W,,1,3,0,0,0,0,,56,,12434,1704,,12434,1704,yes,0,0,African Gulf,Domination,,,,,,
1/20/2021,Japan,Air,AB,4.0,11,W,,2,2,2,0,0,0,,68,,9210,2160,,9210,2160,yes,0,0,Winter Stalingrad,domination,,,,,,
1/20/2021,Japan,Air,AB,4.0,6,L,,2,1,1,0,0,0,,74,,6422,1252,,6422,1252,yes,0,0,Sicily,Ground Strike,,,,,,
1/20/2021,Japan,Air,AB,4.0,7,W,,1,3,2,0,0,1,,84,,15455,2154,On Hand,15455,2154,yes,0,0,Zhengzhou,domination,,,,,,
1/20/2021,Japan,Air,AB,4.0,4,L,,3,0,1,0,0,0,,84,6:00,5695,1062,ShadowStrikex3,5695,1062,yes,0,0,Moscow,Ground Strike,,,,,,
1/20/2021,Japan,Air,AB,4.0,15,W,,2,1,3,0,0,0,,68,15:45,12900,2914,Rank Does Not Matter,12900,2914,yes,0,0,"Mountain Ridge, China",Frontline,,,,,,
1/20/2021,Japan,Air,AB,4.0,6,W,,5,9,4,0,0,0,,0,25:14,37474,5604,"Wingman, Teamwork, Professionalx5",37474,5604,yes,0,0,Foothills,Frontline,,,,,,
1/20/2021,USSR,Naval,AB,3.3,4,W,,5,2,0,0,0,0,,70,14:54,32644,3654,"Teamworkx2, Professionalx5",32644,3654,yes,0,0,Green Mountains Golf,Domination,,,,,,
1/20/2021,USSR,Naval,AB,3.3,2,W,,3,6,0,0,0,0,,79,10:57,79147,2702,"On Hand, Teamworkx2,",19787,2702,yes,300,0,North Port,Domination,,,,,,
1/20/2021,USSR,Naval,AB,3.3,6,W,,5,2,3,0,0,0,,71,12:08,82644,2988,,20661,2988,yes,300,0,Ireland Bay,Domination,,,,,,
1/20/2021,USSR,Naval,AB,3.3,3,W,,6,3,1,0,0,0,,82,15:11,89830,4262,,22458,4262,yes,300,0,South Kvarken,Domination,,,,,,
1/20/2021,USA,Ground,RB,3.3,,L,,,,,,,,,,,10158,1310,n/a,2540,1310,yes,300,0,Jungle,Domination,,,,,,
1/20/2021,USA,Ground,RB,3.3,12,W,,1,0,3,0,0,0,,,16:36,26853,2530,n/a,6713,2530,yes,300,0,Frozen Pass,Domination,,,,,,
1/20/2021,UK,Air,AB,3.7,10,W,,2,1,2,0,0,0,,73,9:04,8387,2006,"Rank Does not Matter, Balancer",8387,2006,yes,0,0,Ireland Bay,Ground Strike,,,,,,
1/21/2021,UK,Air,AB,3.7,8,W,,5,0,3,0,0,0,,80,12:00,17644,3100,,13572,3100,yes,30,0,Wake Island,Ground Strike,,,,,,
1/21/2021,UK,Air,AB,3.7,2,L,,6,4,2,0,0,1,,89,14:34,21252,2996,"Professionalx6,Fighter Rescuerx3,Bomber Rescuerx1",16348,2996,yes,30,0,Khalkin Gol,Domination,,,,,,
1/21/2021,Germany,Air,AB,5.3,12,W,,2,1,1,0,0,0,,50,12:22,9976,2136,,7674,2136,yes,30,0,"Mountain Ridge, China",Ground Strike,,,,,,
1/21/2021,Germany,Air,AB,5.3,5,W,,4,1,3,3,0,0,,82,12:49,22977,3518,n/a,17675,3518,yes,30,0,Foothills,Frontline,,,,,,
1/21/2021,Germany,Air,AB,5.3,5,L,,0,3,1,2,0,0,,80,7:56,7167,8626,On Hand,5119,8626,yes,40,0,Alpine Meadows,Ground Strike,,,,,,
1/21/2021,Germany,Air,AB,5.3,7,L,,2,0,1,0,0,0,,59,9:27,5619,1178,"Fighter Rescuer,Avenger",4322,1178,yes,30,0,"Mountain Ridge, China",Frontline,,,,,,
1/21/2021,Germany,Air,AB,5.3,1,L,,6,3,2,1,0,0,,87,11:57,17571,2790,"Fighter Rescuer,Avengerx3,Professionalx6,RankDoesNotMatter,",13516,2790,yes,30,0,Sicily,Domination,,,,,,
1/21/2021,Germany,Air,AB,5.3,3,W,,7,1,3,2,0,0,,86,17:04,49382,4738,"Skill Matters,Rank Does Not Matter,Fighter Rescuer, Bomber Rescuer,Professionalx7",35273,4738,yes,40,0,"Canyon, Africa",Frontline,,,,,,
1/21/2021,Germany,Air,AB,5.3,7,W,,4,0,1,0,0,0,,71,12:30,18645,3096,RankDoesNotMatter,14342,3096,yes,30,0,"Canyon, Africa",Ground Strike,,,,,,
1/21/2021,France,Air,AB,4.0,9,W,,4,0,4,2,0,0,,74,12:17,19197,3306,n/a,19197,3306,yes,0,0,Abandoned Factory,Ground Strike,,,,,,
1/21/2021,France,Air,AB,3.3,8,L,,3,2,2,0,0,0,,74,13:43,9297,1996,,9297,1996,yes,0,0,Graves Robbers Clifs,Ground Strike,,,,,,
1/22/2021,Japan,Air,AB,4.3,5,L,,3,2,3,0,0,0,,81,13:23,1395,2250,,1395,2250,yes,0,0,Ireland,Ground Strike,,,,,,
1/22/2021,Japan,Air,AB,4.3,8,L,,1,1,1,1,0,0,,77,6:58,6604,1000,n/a,6604,1000,yes,0,0,Graves Robbers Clifs,Ground Strike,,,,,,
1/22/2021,Japan,Air,AB,4.3,13,L,,0,3,3,0,0,0,,65,13:27,6309,1502,n/a,6309,1502,yes,0,0,Foothills,Frontline,,,,,,
1/22/2021,UK,Air,AB,4,4,L,,4,3,3,0,0,0,,80,11:33,9510,1984,n/a,9510,1984,yes,0,0,Alpine Meadows,Ground Strike,,,,,,
1/22/2021,UK,Air,AB,4.0,13,W,,2,2,2,0,0,0,,64,11:46,12415,2482,n/a,12415,2482,yes,0,0,"Canyon, Africa",Frontline,,,,,,
1/22/2021,UK,Air,AB,4.0,5,W,,5,4,4,0,0,0,,87,25:00,29359,5588,n/a,29359,5588,yes,0,0,"Canyon, Africa",Frontline,,,,,,
1/22/2021,China,Air,AB,3.7,8,W,,1,3,3,3,0,0,,84,10:55,12635,2372,n/a,12635,2372,yes,0,0,"Mountain Ridge, China",Frontline,,,,,,
1/22/2021,China,Air,AB,3.7,7,W,,2,4,2,0,0,0,,77,10:24,10359,2244,Fighter Rescuer,10359,2244,yes,0,0,Britain,Domination,,,,,,
1/22/2021,China,Air,AB,4.0,3,W,,4,3,1,1,0,0,,87,8:49,20980,3058,"Fighter Rescuer,Supporting Fire,",20980,3058,yes,0,0,Guam,Ground Strike,,,,,,
1/22/2021,China,Air,AB,4.0,7,W,,2,0,1,0,0,0,,80,7:09,11759,1692,?,11759,1692,yes,0,0,Graves Robbers Clifs,Ground Strike,,,,,,
1/22/2021,China,Air,AB,4.0,9,L,,2,3,2,0,0,0,,72,12:34,3967,2795,?,3967,1118,yes,0,150,"Canyon, Africa",Frontline,,,,,,
1/22/2021,China,Air,AB,4.0,7,L,,2,3,2,0,0,0,,75,11:23,5452,1802,Fighter Rescuer,5452,1802,yes,0,0,Alpine Meadows,Ground Strike,,,,,,
1/22/2021,China,Air,AB,4.0,2,L,,2,4,1,5,0,0,,93,9:16,8309,1696,n/a,8309,1696,yes,0,0,Sicily,Ground Strike,,,,,,
1/23/2021,UK,Ground,RB,2.7,7,L,,2,1,1,0,0,0,,83,14:13,11107,3562,"Adamant,Teamwork,TankRescuer",11107,3562,yes,0,0,Port Novorosiykk,Domination,,,,,,
1/23/2021,UK,Ground,RB,2.7,8,W,,1,2,0,0,0,0,,80,10:07,12340,4953,n/a,12340,4953,yes,0,0,Ungle,Battle,,,,,,
